annee,type_evenement,nombre_evenements
1800,Storm,1
1850,Compound,1
1850,Drought,1
1850,Heat,1
1851,Drought,1
1860,Heat,1
1861,Oceans,1
1870,Storm,1
1882,Rain & flooding,1
1900,Drought,2
1900,Heat,1
1900,Impact,1
1900,Rain & flooding,1
1900,Storm,1
1901,"Cold, snow & ice",2
1901,Compound,1
1901,Heat,5
1901,Rain & flooding,5
1931,Compound,1
1931,Heat,1
1949,Heat,1
1950,Compound,1
1950,Heat,6
1950,Rain & flooding,2
1950,Wildfire,1
1951,Drought,1
1951,Heat,12
1951,Rain & flooding,9
1958,"Cold, snow & ice",1
1958,Drought,1
1958,Heat,1
1960,"Cold, snow & ice",2
1960,Drought,3
1960,Heat,4
1960,Rain & flooding,1
1961,"Cold, snow & ice",3
1961,Compound,4
1961,Drought,2
1961,Heat,5
1961,Rain & flooding,5
1961,Storm,2
1964,Rain & flooding,1
1965,Compound,1
1966,Oceans,1
1967,Drought,1
1967,Rain & flooding,1
1971,Compound,1
1971,Wildfire,1
1972,Wildfire,1
1973,Heat,1
1975,Storm,1
1975,Wildfire,1
1977,Heat,1
1978,Storm,1
1979,Atmosphere,1
1979,"Cold, snow & ice",2
1979,Compound,2
1979,Drought,4
1979,Heat,3
1979,Wildfire,2
1980,"Cold, snow & ice",2
1980,Heat,2
1980,Impact,1
1980,Storm,2
1980,Wildfire,1
1981,"Cold, snow & ice",1
1981,Compound,1
1981,Heat,1
1981,Oceans,1
1981,Rain & flooding,1
1982,Storm,1
1991,Impact,1
1992,Compound,1
1993,Storm,1
1995,Heat,1
1996,Rain & flooding,1
1999,Rain & flooding,1
2000,Impact,2
2000,Rain & flooding,2
2000,River flow,2
2001,Drought,1
2001,Impact,1
2002,Drought,2
2002,Impact,1
2003,"Cold, snow & ice",1
2003,Heat,2
2003,Impact,3
2004,Rain & flooding,1
2005,Storm,2
2006,Heat,1
2006,Rain & flooding,1
2007,Compound,1
2007,Impact,4
2007,Rain & flooding,1
2008,Rain & flooding,2
2009,"Cold, snow & ice",1
2009,Drought,1
2009,Rain & flooding,1
2009,Storm,1
2010,"Cold, snow & ice",2
2010,Drought,2
2010,Heat,6
2010,Rain & flooding,7
2011,"Cold, snow & ice",2
2011,Compound,1
2011,Drought,7
2011,Heat,5
2011,Rain & flooding,9
2012,"Cold, snow & ice",5
2012,Compound,1
2012,Drought,9
2012,Heat,4
2012,Oceans,1
2012,Rain & flooding,14
2012,Storm,1
2013,Atmosphere,2
2013,"Cold, snow & ice",4
2013,Compound,1
2013,Drought,6
2013,Heat,10
2013,Impact,1
2013,Oceans,1
2013,Rain & flooding,15
2013,Storm,3
2014,Atmosphere,1
2014,"Cold, snow & ice",2
2014,Drought,8
2014,Heat,13
2014,Oceans,4
2014,Rain & flooding,4
2014,Storm,4
2014,Sunshine,1
2014,Wildfire,1
2015,Atmosphere,1
2015,"Cold, snow & ice",5
2015,Compound,2
2015,Drought,12
2015,Heat,20
2015,Impact,2
2015,Oceans,4
2015,Rain & flooding,8
2015,Storm,3
2015,Wildfire,3
2016,Atmosphere,2
2016,"Cold, snow & ice",6
2016,Compound,1
2016,Drought,4
2016,Heat,7
2016,Impact,3
2016,Oceans,4
2016,Rain & flooding,10
2016,Storm,1
2016,Wildfire,1
2017,"Cold, snow & ice",2
2017,Compound,1
2017,Drought,4
2017,Heat,15
2017,Impact,1
2017,Oceans,1
2017,Rain & flooding,7
2017,Storm,8
2017,Sunshine,1
2017,Wildfire,4
2018,"Cold, snow & ice",2
2018,Drought,2
2018,Heat,22
2018,Impact,1
2018,Rain & flooding,13
2018,Storm,2
2018,Wildfire,2
2019,"Cold, snow & ice",2
2019,Compound,2
2019,Drought,4
2019,Heat,5
2019,Impact,2
2019,Oceans,2
2019,Rain & flooding,3
2019,Storm,3
2019,Sunshine,1
2019,Wildfire,4
2020,"Cold, snow & ice",2
2020,Compound,3
2020,Drought,7
2020,Heat,5
2020,Impact,1
2020,Oceans,1
2020,Rain & flooding,16
2020,Storm,4
2020,Wildfire,1
2021,"Cold, snow & ice",5
2021,Compound,1
2021,Drought,3
2021,Heat,8
2021,Impact,2
2021,Oceans,1
2021,Rain & flooding,12
2021,Storm,4
2021,Sunshine,1
2021,Wildfire,1
2022,"Cold, snow & ice",1
2022,Compound,2
2022,Drought,7
2022,Heat,12
2022,Impact,2
2022,Rain & flooding,7
2022,Storm,2
2023,Compound,1
2023,Drought,2
2023,Heat,11
2023,Oceans,2
2023,Rain & flooding,8
2023,Storm,3
2023,Wildfire,4
2024,"Cold, snow & ice",1
2024,Drought,2
2024,Heat,5
2024,Rain & flooding,7
2024,Storm,5
2024,Wildfire,2
