type_evenement,tendance_mann_kendall,p_value,pente_mann_kendall,pente_regression
Heat,increasing,4.235056749735122e-12,0.0,0.018443952802359876
Rain & flooding,increasing,5.329070518200751e-15,0.0,0.017269279393173197
Storm,increasing,6.549001341227267e-10,0.0,0.0054877791824694475
Drought,increasing,6.13096240442701e-11,0.0,0.009577538980193845
"Cold, snow & ice",increasing,1.537969751552737e-11,0.0,0.005324483775811209
Oceans,increasing,7.552593397353036e-07,0.0,0.0023883270122208172
Impact,increasing,1.8700394566195655e-09,0.0,0.0028792667509481666
Compound,increasing,2.056533676686456e-08,0.0,0.002489464812473662
Wildfire,increasing,9.718047699891486e-09,0.0,0.0030362410450906025
Atmosphere,increasing,0.0009089881020900581,0.0,0.0007184997892962495
Sunshine,increasing,0.0010587176849445878,0.0,0.000445638432364096
River flow,no trend,0.17792744095024515,0.0,0.0001854193004635482
